"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Aiquara ";18,95;29,43;17,49;75,41;50,83;30,6;"BA"
"Aiuaba ";12;12,33;30,56;72,39;64,71;26,6;"CE"
"Aiuruoca ";12,71;14,01;14,67;32,79;22,38;12,1;"MG"
"Ajuricaba ";8,37;5,89;8,42;23,2;16,7;12,2;"RS"
"Alagoa Grande ";16,29;24,54;37,45;55,77;38,83;19,5;"PB"
"Alagoa ";4,66;3,51;12,94;36,85;24,22;15,4;"MG"
"Alagoa Nova ";26,54;21,17;23,47;87,45;48,6;27,6;"PB"
"Alagoinha do Piauí ";15,09;11,75;11,15;72,33;52,53;34,6;"PI"
"Alagoinha ";15,65;19,06;22,21;81,15;43,24;19,8;"PB"
"Alagoinha ";13,41;20,28;37,03;83,48;54,41;18,6;"PE"
"Alagoinhas ";21,93;24,19;17,43;60,86;41,13;21,84;"BA"
"Alambari ";NA;10,11;12,19;33,32;23,3;17,5;"SP"
"Albertina ";2,49;5,57;12,01;25,14;21,91;17,3;"MG"
"Alcântara ";23,09;22,98;29,54;67,87;50,93;28,8;"MA"
"Alcântaras ";18,91;18,53;24,37;100,11;60,81;26,3;"CE"
"Alcantil ";8,06;17,85;44,42;61,9;51,53;24,7;"PB"
"Alcinópolis ";20,2;14,12;20,84;35,75;21,55;15,3;"MS"
"Alcobaça ";27,66;21,87;31,64;74,73;50,02;23,6;"BA"
"Aldeias Altas ";16,48;24,99;40,17;81,1;61,5;35,3;"MA"
"Alecrim ";15,57;8;9,49;23,51;19,6;11,3;"RS"
"Alegre ";11,36;13,81;11,25;34,65;18,8;13,6;"ES"
"Alegrete do Piauí ";16,62;15,98;21,64;85,41;44,89;28;"PI"
"Alegrete ";9,45;11,89;12,7;28,32;20,4;11,5;"RS"
"Alegria ";6,09;4,15;7,83;23,2;18,5;14;"RS"
"Além Paraíba ";13,93;16,1;18,64;31,6;27,05;13,2;"MG"
"Alenquer ";15,49;25,88;36,41;64,86;36,05;22;"PA"
"Alexandria ";9,15;9,78;14,22;62,03;41,33;21,8;"RN"
"Alexânia ";19,98;18,41;16,16;36,52;29,1;12,5;"GO"
"Alfenas ";10,62;10,68;13,18;22,96;18,88;14,6;"MG"
"Alfredo Chaves ";8,64;3,23;9,6;28,8;20,47;14,2;"ES"
"Alfredo Marcondes ";9,46;9,1;4,25;25,7;18,5;14,1;"SP"
"Alfredo Vasconcelos ";10,46;9,15;15,12;34,2;27,17;15,3;"MG"
"Alfredo Wagner ";4,01;4,97;24,48;25,97;16,7;9,8;"SC"
"Algodão de Jandaíra ";0,99;7,6;62,22;85,52;54,49;27,6;"PB"
"Alhandra ";22,3;19,22;21,13;91,78;47,95;22,5;"PB"
"Aliança do Tocantins ";14,79;23,37;12,73;51,43;34,09;18,4;"TO"
"Aliança ";13,03;14,43;22,14;78,83;55,42;18,9;"PE"
"Almadina ";20,73;16,58;24;58,01;44,35;27,2;"BA"
"Almas ";24,82;44,94;51,08;70,12;45,71;19,1;"TO"
"Almeirim ";14,21;16,31;24,76;39,5;30,9;17,4;"PA"
"Almenara ";13,21;19,21;17,23;47,68;36,28;18,3;"MG"
"Almino Afonso ";8,99;8,84;21,62;70,24;45,46;28,8;"RN"
"Almirante Tamandaré do Sul ";2,31;5,92;6,55;21,91;20,4;13,2;"RS"
"Almirante Tamandaré ";14,76;19,37;24,46;32,61;24;12,96;"PR"
"Aloândia ";10,61;3,97;5,12;29,47;26,1;13,1;"GO"
