"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Catu ";22,67;26,37;17,35;62,87;39,85;17;"BA"
"Catuípe ";7,99;8,31;11,99;18,6;13,7;12,1;"RS"
"Catuji ";21,5;16,98;36,35;52,85;43,34;21,8;"MG"
"Catunda ";12,96;9,06;21,72;70,87;45,65;32,9;"CE"
"Caturaí ";6,9;19,59;9,64;29,81;28;14,7;"GO"
"Caturama ";11,88;11,04;15,46;60,14;46,02;23,8;"BA"
"Caturité ";22,71;5,57;13,04;87,45;44,27;21,9;"PB"
"Catuti ";11,02;15,85;20,86;46,25;44,94;21,5;"MG"
"Caucaia ";18,06;22,81;24,93;56,43;30,5;17,57;"CE"
"Cavalcante ";22,13;17,84;28,92;33,31;32,7;15,4;"GO"
"Caxambu do Sul ";4,74;2,98;23,95;32,72;22,8;10,7;"SC"
"Caxambu ";15,34;17,95;16,16;26,09;18,33;14;"MG"
"Caxias do Sul ";8,7;10,73;12,52;18,42;15,4;11,19;"RS"
"Caxias ";23,58;20,37;27,26;77,14;48,15;28,9;"MA"
"Caxingó ";6,51;23,96;25,69;82,25;63,19;36,2;"PI"
"Ceará-Mirim ";14,47;18,63;36,83;72,5;48,86;22,6;"RN"
"Cedral ";18,19;23,72;27,52;96,78;51,47;29,8;"MA"
"Cedral ";5,49;0,41;2,24;20,55;12,5;10,6;"SP"
"Cedro ";9,81;11,28;19,75;70,97;52,46;26;"CE"
"Cedro de São João ";12,3;12,41;18;48,56;38,76;31,3;"SE"
"Cedro do Abaeté ";9,09;26,68;16,04;29,37;24,92;18,5;"MG"
"Cedro ";9,45;14,62;31,92;58,62;55,39;33,4;"PE"
"Celso Ramos ";7,49;7,67;8,88;32,55;28,1;14,2;"SC"
"Centenário do Sul ";10,96;12,52;15,85;38,76;25,4;16,3;"PR"
"Centenário ";5,16;8,07;9,6;18,66;17,8;11;"RS"
"Centenário ";10,66;2,5;15,34;68,45;46,11;36,6;"TO"
"Central ";21,33;17,01;21,99;88,88;59,87;31,7;"BA"
"Central de Minas ";8,26;8,31;10,81;37,98;32,82;16,3;"MG"
"Central do Maranhão ";28,58;27,74;46,13;72,94;55,92;36,9;"MA"
"Centralina ";5,19;7,5;6,82;36,74;28,49;13,6;"MG"
"Centro do Guilherme ";18,84;16,7;25,41;111,7;63,93;38,2;"MA"
"Centro Novo do Maranhão ";5,49;10,81;39,22;70,15;53,01;36,1;"MA"
"Cerejeiras ";16,52;15,19;25,88;43;27,5;18,1;"RO"
"Ceres ";9,85;8,86;6,11;23,54;20,4;12,81;"GO"
"Cerqueira César ";9,69;15,07;11,84;35,8;24,6;15,9;"SP"
"Cerquilho ";6,95;7,13;9,14;22,73;16,5;11,9;"SP"
"Cerrito ";8,26;6,64;25,81;27,33;21;13,6;"RS"
"Cerro Azul ";7,19;11,74;15,16;41,51;27,29;15,8;"PR"
"Cerro Branco ";2,22;4,9;16,51;26,74;22;14,2;"RS"
"Cerro Corá ";13,69;9,98;24,47;94,57;56,59;25,9;"RN"
"Cerro Grande do Sul ";7,2;8,08;31,05;26,09;18,5;11,1;"RS"
"Cerro Grande ";12,59;3,5;10,22;31,19;28,6;15,3;"RS"
"Cerro Largo ";16,98;10,85;15,25;17,06;15,3;11,6;"RS"
"Cerro Negro ";6,29;11,2;18,49;36,08;31;13,9;"SC"
"Cesário Lange ";6,79;12,53;17,29;28,06;19,9;17,6;"SP"
"Céu Azul ";7,06;9,06;9,97;37,74;26,69;14,5;"PR"
"Cezarina ";9;7,35;8,99;28,27;24,5;15,4;"GO"
"Chácara ";19,22;20,48;16,7;33,21;24,08;11,5;"MG"
"Chã de Alegria ";20,85;32,46;29,4;71,57;52,58;24,9;"PE"
"Chã Grande ";7,22;13,13;29,56;64,17;54,2;18,3;"PE"
"Chalé ";5,39;7,38;7,43;36,29;25,8;20;"MG"
"Chapada da Natividade ";7,64;9,05;16,32;60,1;37,75;16,5;"TO"
"Chapada de Areia ";9,76;43,94;6,14;57,65;52,33;31;"TO"
"Chapada do Norte ";25,89;28,25;37,49;32,72;32,68;18,8;"MG"
"Chapada dos Guimarães ";13,95;9,44;28,1;33,74;27,9;15,4;"MT"
"Chapada Gaúcha ";29,02;11,91;29,88;35,57;31,6;16,6;"MG"
"Chapadão do Céu ";2,05;9,72;9,83;23,73;20,8;12,9;"GO"
"Chapadão do Lageado ";NA;12,73;15,24;29,32;26,7;13,6;"SC"
"Chapadão do Sul ";3,65;6,32;13,68;33,11;17,96;16;"MS"
"Chapada ";5,18;3,27;8,39;23,22;20,4;11,5;"RS"
"Chapadinha ";13,36;16,81;30,35;79,89;48;25,6;"MA"
"Chapecó ";12,79;12,1;15,22;23,57;20,4;10,6;"SC"
"Chã Preta ";15,97;29,55;24,48;77,28;57,74;32;"AL"
"Charqueada ";12,02;8,69;18,69;27,85;19,3;16;"SP"
"Charqueadas ";7,42;11,1;14,79;17,24;16,3;10;"RS"
"Charrua ";5,57;23,3;24,75;17,24;11,7;8,9;"RS"
"Chaval ";19,21;19,08;34,96;98,91;70,03;33;"CE"
"Chavantes ";11,38;11,73;9,58;25,77;20,3;15,3;"SP"
"Chaves ";12,57;15,05;35,5;47,44;35,37;23,5;"PA"
"Chiador ";9,41;3,03;11,06;29,36;19,59;12,4;"MG"
"Chiapetta ";18,29;8,26;20,69;23,2;17;12,2;"RS"
"Chopinzinho ";7,91;10,94;18,33;32,52;22,9;14,1;"PR"
"Choró ";8,88;14,79;34,49;88,96;56,43;21,8;"CE"
"Chorozinho ";15,49;17,75;29,41;75,04;52;27,9;"CE"
"Chorrochó ";21,17;10,36;28,45;94,17;46,06;22,4;"BA"
"Chuí ";9,59;19,53;17,4;27,65;21,1;16,4;"RS"
"Chupinguaia ";1,62;5,83;18,02;45,82;28,59;15,2;"RO"
"Chuvisca ";1,11;2,06;13,42;24,29;19,7;14;"RS"
"Cianorte ";6,51;9,2;11,91;24,26;24;12,1;"PR"
"Cícero Dantas ";17,94;17,62;23,2;103,36;60,66;34,8;"BA"
"Cidade Gaúcha ";10,1;9,32;10,03;40,44;31,59;15,1;"PR"
"Cidade Ocidental ";15,92;24,18;25,83;22,16;21,1;14,8;"GO"
"Cidelândia ";11,73;18,24;30,76;83,01;55,45;33,7;"MA"
"Cidreira ";10,42;14,89;20,97;25,25;18,1;12,4;"RS"
"Cipó ";22,71;23,53;37,99;94,67;51,19;28,6;"BA"
"Cipotânea ";10,82;6,7;23,87;48,27;47,79;24,3;"MG"
"Ciríaco ";3,46;8,52;14,76;26,23;20,4;11,1;"RS"
"Claraval ";20,23;13,61;15,31;35,16;24,78;14;"MG"
"Claro dos Poções ";21,02;14,98;9,34;41,32;38,39;18,7;"MG"
"Cláudia ";2,2;19,95;30,55;24,63;22,71;17,7;"MT"
"Cláudio ";8,28;14,53;12,49;37,19;29,84;14,2;"MG"
"Clementina ";4,04;7,52;11,76;24;19,3;15,9;"SP"
"Clevelândia ";14,58;12;28,4;43,65;30,38;14,4;"PR"
"Coaraci ";18,46;24,1;21,51;54,44;37,79;25,4;"BA"
"Coari ";19,11;21,93;36,3;53,88;39,16;19,58;"AM"
"Cocal de Telha ";15,04;24,59;31,11;67,44;38,89;22,7;"PI"
"Cocal dos Alves ";7,75;4,95;39,06;76,81;45,53;22,8;"PI"
"Cocal do Sul ";8,01;5,07;12,26;19,47;18,6;11,5;"SC"
"Cocalinho ";12,96;12,93;12,38;32,87;25,62;18;"MT"
"Cocal ";26,87;16,98;38,75;72,18;60,53;35,4;"PI"
"Cocalzinho de Goiás ";16,74;18,81;20,65;34,86;29;13,8;"GO"
"Cocos ";11,64;13,71;15,72;59,37;41,13;18,4;"BA"
"Codajás ";19,06;29,8;26,33;68,95;48,5;21,4;"AM"
"Codó ";24,58;25,91;29,88;96,32;53,01;28,6;"MA"
"Coelho Neto ";26,07;31,97;36,59;111,7;59,22;33,8;"MA"
"Coimbra ";8,42;5,39;12,45;35,54;22,88;16,1;"MG"
"Coité do Nóia ";16,48;18,65;26,71;83,93;50,57;33,4;"AL"
"Coivaras ";12,57;5,55;14,04;59,03;44,1;31,3;"PI"
"Colares ";15,4;22,62;40,74;51,07;34,63;24,5;"PA"
"Colatina ";11,2;13,34;13,54;27,76;21,86;13,5;"ES"
"Colíder ";11,59;16,47;14,82;39,31;30,37;16,7;"MT"
"Colinas do Sul ";8,8;19,83;22,91;34,86;34,1;14,3;"GO"
"Colinas do Tocantins ";18,79;32,07;20,15;47,9;35,38;16,5;"TO"
"Colinas ";22,62;20,6;41,09;111,86;60,31;37,9;"MA"
"Colina ";7,96;8,42;8,86;22,82;17,6;13,7;"SP"
"Colinas ";4,24;7,92;6,05;19,55;15,8;13;"RS"
"Colméia ";18,15;14,73;14,26;62,81;39,85;16,2;"TO"
"Colniza ";18,58;6,8;26,06;32,23;30,06;17,2;"MT"
"Colômbia ";11,18;19,31;9,62;31,11;20;17,8;"SP"
"Colombo ";12,83;17,47;22,33;26,76;18,4;9,6;"PR"
"Colônia do Gurguéia ";14,57;12,44;22,91;54,82;37,69;22,9;"PI"
"Colônia do Piauí ";23,51;19,21;34,86;65,01;49,14;23,9;"PI"
"Colônia Leopoldina ";24,45;23,24;34,18;83,56;60,31;41,7;"AL"
"Colorado do Oeste ";15,27;21,58;14;37,19;26,45;16,1;"RO"
"Colorado ";8,18;9,73;5,98;32,61;24,91;15,2;"PR"
"Colorado ";4,53;7,28;5,95;22,25;15,3;13,5;"RS"
"Coluna ";16,17;23,17;28,47;52,72;39,39;20,5;"MG"
"Combinado ";22,31;16,96;9,42;62,81;35,14;16,4;"TO"
"Comendador Gomes ";11,82;10,17;15,77;28,11;18,47;13,8;"MG"
"Comendador Levy Gasparian ";18,58;12,3;12,16;28,52;22,41;18,4;"RJ"
"Comercinho ";15,9;7,82;16,92;51,02;38,95;18,9;"MG"
"Comodoro ";12,26;13,49;19,88;33,15;28,89;14,8;"MT"
"Conceição da Aparecida ";1,73;12,85;9,08;30,55;17,89;14,1;"MG"
"Conceição da Barra de Minas ";7,3;3,91;28,62;41,05;35,81;17,1;"MG"
"Conceição da Barra ";13,04;20,43;15,24;43,54;25,83;16,1;"ES"
"Conceição da Feira ";19,56;19,44;24,44;73,04;46,06;24,6;"BA"
"Conceição das Alagoas ";8,31;6,73;17,36;29,16;24,92;12,8;"MG"
"Conceição das Pedras ";10,81;20,27;10,89;28,82;22,88;16,5;"MG"
"Conceição de Ipanema ";4,1;5,13;8,55;41,9;28,66;16,1;"MG"
"Conceição de Macabu ";9,44;14,1;16,71;39,18;20,82;16,4;"RJ"
"Conceição do Almeida ";23,37;23,94;18,91;68,08;41,13;18,3;"BA"
"Conceição do Araguaia ";19,18;15,79;25,42;51,64;29,34;23,4;"PA"
"Conceição do Canindé ";10,84;15,82;18,3;92,78;52,99;26,2;"PI"
"Conceição do Castelo ";3,04;10,56;12,12;42,17;26,21;16,1;"ES"
"Conceição do Coité ";18,62;21,02;32,02;86,09;52,84;27;"BA"
"Conceição do Jacuípe ";29,26;25,77;23,03;53,4;41,58;19,3;"BA"
"Conceição do Lago-Açu ";19,04;21,06;56,7;106,59;55,15;31,8;"MA"
"Conceição do Mato Dentro ";15,74;23,47;30,78;36,67;36,01;19,2;"MG"
"Conceição do Pará ";7,21;14,1;14,58;31,8;19,03;13,9;"MG"
"Conceição do Rio Verde ";10,96;17,09;19;29,1;24,24;15,3;"MG"
"Conceição dos Ouros ";8,48;6,35;13,55;26,43;22,61;14,6;"MG"
"Conceição do Tocantins ";10,91;17,36;32,18;61,06;45,19;28,7;"TO"
"Conceição ";14,42;9,97;15,73;70,83;42,22;26,7;"PB"
"Conchal ";16,16;10,24;24,53;29,1;18,5;15,3;"SP"
"Conchas ";4,97;10,39;21,24;25,66;20,6;14,4;"SP"
"Concórdia do Pará ";8,67;15;20,53;53,64;36;28,6;"PA"
"Concórdia ";6,98;7,88;10,79;18,98;16,9;10,5;"SC"
"Condado ";23,96;13,69;21,43;64,53;43,55;24;"PB"
"Condado ";14,38;20,6;26,48;79,17;54,65;34,1;"PE"
"Conde ";28,71;26,1;48,91;83,79;50,61;36,3;"BA"
"Conde ";13,11;31,09;30,08;62,49;40,58;19,5;"PB"
"Condeúba ";9,11;11,77;24,31;57,53;39,58;20,8;"BA"
"Condor ";10,65;13,72;9,61;18,66;17,9;11,3;"RS"
"Cônego Marinho ";13,86;12,44;13,28;38,84;31,6;18,7;"MG"
"Confins ";9,86;8,12;17,94;31,98;20,95;15,7;"MG"
"Confresa ";26,51;8,94;24,67;32,23;30,06;17,4;"MT"
"Congonhal ";4,76;5,69;6,86;30,32;30,02;14,1;"MG"
"Congonhas do Norte ";12,75;31;21,43;38,89;36,01;24,8;"MG"
"Congonhas ";15,97;16,3;17,7;34,92;22,38;11,6;"MG"
"Congonhinhas ";13,85;14;19,05;36,15;33,41;14,8;"PR"
"Congo ";17,91;15,15;32,9;50,66;37,3;31;"PB"
"Conquista D'Oeste ";1,14;10,21;20,74;28,76;24,81;18;"MT"
"Conquista ";7,61;10,2;5,48;29,16;24,92;11,6;"MG"
"Conselheiro Lafaiete ";12,97;11,67;12,11;25,32;25,07;14,12;"MG"
"Conselheiro Mairinck ";11,15;20,64;28,93;49,88;31;16;"PR"
"Conselheiro Pena ";14,64;14,77;15,93;38,89;25,94;15;"MG"
"Consolação ";9,74;6,24;20,61;38,2;29,98;18;"MG"
"Constantina ";6,67;11,5;11,29;19,71;14,2;8,9;"RS"
"Contagem ";14,65;15,16;12,56;34,5;28,47;15,4;"MG"
"Contenda ";3,85;13,57;29,57;39,27;24,71;15,1;"PR"
"Contendas do Sincorá ";13,18;18,7;17,76;93,24;56,56;38,6;"BA"
"Coqueiral ";11,28;9,05;8,33;28,35;22,25;14,9;"MG"
"Coqueiro Baixo ";6,02;3,21;0,82;18,1;12,3;8,9;"RS"
"Coqueiros do Sul ";5,8;1,97;11,27;25,4;20,6;12,2;"RS"
"Coqueiro Seco ";16,82;19,37;22,99;65,65;36,98;28,2;"AL"
"Coração de Jesus ";18,34;20,97;11,86;41,28;31,93;17,8;"MG"
"Coração de Maria ";28,85;30,7;27,63;76,9;47,81;25,2;"BA"
"Corbélia ";9,62;7,07;8,02;28,79;28,5;14,9;"PR"
"Cordeirópolis ";7,52;8,74;16,77;21,52;13,2;11,6;"SP"
"Cordeiro ";13,15;11,27;12,27;36,09;17,29;14,7;"RJ"
"Cordeiros ";9,02;15,42;30,37;58,82;41,52;25,1;"BA"
"Cordilheira Alta ";11,16;7,48;6,3;26,78;25,8;11,8;"SC"
"Cordisburgo ";17,14;16,51;15,99;33,35;32,2;20,1;"MG"
"Cordislândia ";1,11;10,07;15,25;28,82;24,33;17,9;"MG"
"Coreaú ";9,04;16,37;28,89;59,63;48,3;25;"CE"
"Coremas ";18,72;11,1;24,13;82,95;44,05;20;"PB"
"Corguinho ";10,45;9,14;15,07;36,33;31,05;18,1;"MS"
"Coribe ";8,13;12,92;14,77;59,37;41,04;18;"BA"
"Corinto ";18,12;13,89;22,74;39,02;30,2;14,6;"MG"
"Cornélio Procópio ";8,52;7,64;7,64;31,9;23,6;11,6;"PR"
"Coroaci ";15,35;14,17;25,97;48,39;35,42;17,5;"MG"
"Coroados ";10,95;12,18;21,3;29,25;18,7;16,4;"SP"
"Coroatá ";20,11;18,62;28,35;92,45;55,64;32;"MA"
"Coromandel ";7,72;7,72;12,88;27,69;16,48;13;"MG"
"Coronel Barros ";3,44;2,25;1,78;17,64;16;11,3;"RS"
"Coronel Bicaco ";12,46;30,31;23,9;23,87;19,6;15,3;"RS"
"Coronel Domingos Soares ";15,47;8,41;12,38;40,76;32,77;16,3;"PR"
"Coronel Ezequiel ";9,42;12,08;23,9;60,89;41,62;21,9;"RN"
"Coronel Fabriciano ";16,17;14,72;13,81;31,24;22,3;12,54;"MG"
"Coronel Freitas ";4,66;5,47;14,05;26,59;24,9;11,4;"SC"
"Coronel João Pessoa ";12,89;23,19;16;85,47;53,71;27,1;"RN"
"Coronel João Sá ";19,93;12,53;29,18;81,39;54,66;34;"BA"
"Coronel José Dias ";13,91;11,93;8,22;72,18;58,65;32,7;"PI"
"Coronel Macedo ";11,81;9,52;10,85;37,26;29,2;16,9;"SP"
"Coronel Martins ";6,78;10,6;7,37;35,16;24,5;15,1;"SC"
"Coronel Murta ";13,94;18,46;13,99;48,17;36,29;20,3;"MG"
"Coronel Pacheco ";7,25;9,36;9,98;38,9;26,9;19,7;"MG"
"Coronel Pilar ";1,56;NA;3,1;21,46;15,2;13,5;"RS"
"Coronel Sapucaia ";9,74;24,69;43,31;31,59;26,51;20,8;"MS"
"Coronel Vivida ";8,53;12,3;12,65;28,72;28,5;15,6;"PR"
"Coronel Xavier Chaves ";10,08;4,8;13,88;31,65;31,33;16,3;"MG"
"Córrego Danta ";2,8;12,51;13,07;34,11;22,06;14,4;"MG"
"Córrego do Bom Jesus ";0,89;3,58;8,46;39,8;29,67;14,7;"MG"
"Córrego do Ouro ";5,3;7,4;4,62;28,27;24,9;17,7;"GO"
"Córrego Fundo ";NA;7,32;7,52;34,7;27,52;19,2;"MG"
"Córrego Novo ";8,52;10,32;14,04;33,25;30,58;18,1;"MG"
"Correia Pinto ";11,5;8,98;17,76;32,55;27,7;16,2;"SC"
"Corrente ";20,01;21,16;25,39;50,13;34,57;21,2;"PI"
"Correntes ";17,42;16,53;32,9;98,99;80,65;31,4;"PE"
"Correntina ";13,42;14,87;21,13;64,03;41,57;20,4;"BA"
"Cortês ";37,3;19,86;26,14;116,1;87,32;35,4;"PE"
"Corumbá de Goiás ";25,45;11,69;19,79;29,09;27,5;13,5;"GO"
"Corumbaíba ";9,98;8,83;11,67;27,18;22,3;13,4;"GO"
"Corumbá ";18,14;20,27;22,83;31,41;21,86;17,75;"MS"
"Corumbataí do Sul ";7,97;11,68;9,42;53,58;35,64;16,5;"PR"
"Corumbataí ";10,04;6,39;8,08;22,95;20,4;14,1;"SP"
"Corumbiara ";10,05;9,08;10,26;56,02;37,21;21,9;"RO"
"Corupá ";9,04;5,52;11,77;23,67;17,9;10,5;"SC"
"Coruripe ";17,2;17,95;25,22;65,65;50,26;26;"AL"
"Cosmópolis ";7,05;12,81;16,91;24,19;17,2;9,19;"SP"
"Cosmorama ";3,9;6,24;8,95;30,73;17,7;13,3;"SP"
"Costa Marques ";21,03;23,73;23,22;42,9;36,98;25,8;"RO"
"Costa Rica ";12,72;14,77;12,51;29,64;21,86;20,2;"MS"
"Cotegipe ";13,66;16,78;27,59;69,59;46,77;28,1;"BA"
"Cotia ";11,51;15,36;15,61;22,3;18,1;11,93;"SP"
"Cotiporã ";3,47;3,67;3,7;21,46;15,2;13,5;"RS"
"Cotriguaçu ";1,27;15;17,34;29,96;29,08;16,1;"MT"
"Couto de Magalhães de Minas ";10,64;28,93;23,22;47,59;32,75;17,9;"MG"
"Couto Magalhães ";19,23;24,1;19,91;81,92;52,33;24,8;"TO"
"Coxilha ";0,64;6,54;11,89;19,11;18,3;10,3;"RS"
"Coxim ";18,92;20,61;15,42;31,45;22,25;17,5;"MS"
"Coxixola ";24,66;15,94;13,21;71,4;39,41;20;"PB"
"Craíbas ";14,16;13,61;32,17;83,93;50,57;43;"AL"
"Crateús ";11,84;12,68;18,74;60,42;36,88;20,3;"CE"
"Crato ";15;16,96;16,08;61,43;40,66;16,48;"CE"
"Cravinhos ";8,62;11,14;13,93;23,02;17,6;12,6;"SP"
"Cravolândia ";17,52;20,34;19,52;63,78;39,66;24,8;"BA"
"Criciúma ";9,61;10,95;12,82;26,93;21,3;12,29;"SC"
"Crisólita ";7,53;10,96;32,28;51,02;36,29;18,7;"MG"
"Crisópolis ";15,46;21,99;25,35;91,79;47,88;24,8;"BA"
"Crissiumal ";4,98;5,58;9,53;22,2;20;12,6;"RS"
"Cristais ";7,24;10,76;15,85;24,42;20,68;13,1;"MG"
"Cristais Paulista ";4,61;11,04;7,76;28,94;23,8;17,8;"SP"
"Cristalândia do Piauí ";18,06;10,75;16,85;75,92;49,93;24,4;"PI"
"Cristalândia ";18,43;17,54;10,4;49,25;26,46;17,8;"TO"
"Cristal do Sul ";1,83;2,39;9,43;29,27;19,7;13,4;"RS"
"Cristália ";34,14;32,66;51,27;36,92;29,16;19,1;"MG"
"Cristalina ";16,27;15,58;25,63;23,74;22,1;16,91;"GO"
"Cristal ";7,4;8,99;14,72;23,4;22,6;13,3;"RS"
"Cristiano Otoni ";15,59;9,93;16,92;29,92;26,77;16,3;"MG"
"Cristianópolis ";14,44;8,11;6,8;26,92;21,9;12,8;"GO"
"Cristina ";7,65;7,36;12,01;38,2;29,37;14,5;"MG"
"Cristinápolis ";18,79;23,23;37,39;68,85;52,67;26,7;"SE"
"Cristino Castro ";21,98;31,07;33,32;54,82;37,07;35,2;"PI"
"Cristópolis ";11,36;15,72;15,11;70,36;44,42;24,6;"BA"
"Crixás do Tocantins ";2,94;10,14;8,53;50,17;35,14;18,8;"TO"
"Crixás ";11,68;9,59;8,7;26,91;22,3;17,5;"GO"
"Croatá ";22,28;17,58;43,81;87,19;64,09;24,8;"CE"
"Cromínia ";10,65;10,63;18,18;25,95;21,9;15,8;"GO"
"Crucilândia ";9,92;13,87;9,17;37,19;27,44;17;"MG"
"Cruzália ";2,87;4,32;4,71;24,16;20,4;13;"SP"
"Cruz Alta ";13,04;16,04;19,49;22,25;16,1;11,6;"RS"
"Cruzaltense ";4,91;5,27;9,48;24,64;17,9;11,5;"RS"
"Cruz ";10,85;18,31;22,77;71,33;41,82;26,1;"CE"
"Cruz das Almas ";27,57;23,29;17,01;54,82;34,71;19,8;"BA"
"Cruz do Espírito Santo ";10,92;17,1;22,03;86,6;43,24;22,6;"PB"
"Cruzeiro da Fortaleza ";8,21;7,88;24,44;22,96;19,64;15,4;"MG"
"Cruzeiro do Iguaçu ";23,27;14,51;15,17;29,28;29,02;16,2;"PR"
"Cruzeiro do Oeste ";12,64;10,07;11,91;43,56;29,39;13,4;"PR"
"Cruzeiro do Sul ";16,78;28,45;43,88;39,43;26;23,38;"AC"
"Cruzeiro do Sul ";15,76;9,31;9,16;32,53;22,7;13,2;"PR"
"Cruzeiro do Sul ";5,94;10,53;23,78;21,47;16,7;12,8;"RS"
"Cruzeiro ";9,42;10,19;12,18;30,63;17,1;11,5;"SP"
"Cruzeta ";12,13;11,04;5,4;59,17;35,04;27;"RN"
"Cruzília ";11,95;14,05;19,55;34,44;26,36;13,6;"MG"
"Cruz Machado ";7,54;7,24;22,03;43,62;27,29;11,8;"PR"
"Cruzmaltina ";3,6;12,55;9,24;54,17;36,99;19,9;"PR"
"Cubatão ";15,7;16,3;19,59;37,43;22,8;16,17;"SP"
"Cubati ";18,94;26,41;30,82;90,38;49,94;28,9;"PB"
"Cuiabá ";14,11;13,85;9,13;26,47;23,57;15,49;"MT"
"Cuité de Mamanguape ";25,15;16,76;31,74;103,87;69,01;41,4;"PB"
"Cuitegi ";17,88;25,65;43,25;90,72;49,94;30,7;"PB"
"Cuité ";12,62;14,12;20,48;94,09;49,8;24,5;"PB"
"Cujubim ";13,22;10,04;30,07;43;29,15;19,6;"RO"
"Cumari ";17,36;2,71;8,65;27,18;22,3;14,3;"GO"
"Cumaru do Norte ";3,46;7,74;39,08;55,63;32,28;19,4;"PA"
"Cumaru ";10,67;13,67;25,66;76,73;60,78;32,8;"PE"
"Cumbe ";14,97;9,67;22,6;57,46;43,28;27,9;"SE"
"Cunha Porã ";4,06;8,29;4,53;30;23,6;16,2;"SC"
"Cunha ";12,69;11,25;21,36;31,6;18,1;15,4;"SP"
"Cunhataí ";4,42;NA;19,99;15,88;13,5;9,5;"SC"
"Cuparaque ";17,83;14,54;12,21;32,09;22,95;18,8;"MG"
"Cupira ";17,48;21,3;34,67;81,21;61,94;24,6;"PE"
"Curaçá ";16,74;21,53;29,89;78,11;46,26;22,5;"BA"
"Curimatá ";14,99;14,95;16,28;54,82;35,73;29,5;"PI"
"Curionópolis ";28,71;45,63;31,89;62,3;33,34;17,4;"PA"
"Curitibanos ";11,94;13,38;22,54;33,25;22,3;12,5;"SC"
"Curitiba ";8,73;9;8,97;30,17;21,2;11,91;"PR"
"Curiúva ";9,43;8,13;25,62;41,51;28,59;16;"PR"
"Currais Novos ";13,61;12,79;15,47;48,45;32,05;21,69;"RN"
"Currais ";8,86;9,46;17,88;87,86;52,36;29,2;"PI"
"Curral de Cima ";18,39;30,3;31,22;101,58;58,76;34,3;"PB"
"Curral de Dentro ";5,4;17,08;18,97;61,23;47,21;23,2;"MG"
"Curralinho ";7,3;11,68;38,04;73,19;47,69;23,5;"PA"
"Curralinhos ";21,49;11,05;41,9;62,56;48,6;25,7;"PI"
"Curral Novo do Piauí ";23,11;15,53;24,17;100,47;67,35;41,5;"PI"
"Curral Velho ";13,6;5,86;34,56;70,83;48,92;29,4;"PB"
"Curuá ";20,99;59,7;28,47;56,09;34,23;21,7;"PA"
"Curuçá ";24,91;21,35;31,85;58,85;38,22;25,4;"PA"
"Cururupu ";19,14;36,2;25,07;97,84;48,69;26,1;"MA"
"Curvelândia ";5,56;4,25;23,1;39,01;30,06;17,6;"MT"
"Curvelo ";17,57;16,79;16,8;33,77;27,4;13,8;"MG"
"Custódia ";12,37;16,79;19,32;63,66;60,62;35,7;"PE"
"Cutias ";4,01;5,47;22,38;49,86;34,26;23;"AP"
"Damianópolis ";13,11;4,67;20,58;30,29;25;14,7;"GO"
"Damião ";25,63;18,77;31,91;98,44;58,76;33,2;"PB"
"Damolândia ";9,1;12,83;9,49;33,53;31,1;14,4;"GO"
"Darcinópolis ";8,48;18,52;31,66;80,58;46,96;24,2;"TO"
"Dário Meira ";5,49;10,98;30,68;96,64;47,81;23,7;"BA"
"Datas ";11,46;23,07;20,38;41,7;41,28;23,5;"MG"
"David Canabarro ";NA;1,89;5,73;19,16;18,5;10;"RS"
"Davinópolis ";7,09;14,42;7,01;23,73;22,5;11;"GO"
"Davinópolis ";16,87;23,77;31,61;100,82;53,3;29,9;"MA"
"Delfim Moreira ";7,94;6,62;19,28;36,01;25,07;15;"MG"
"Delfinópolis ";12,73;12,28;11,8;31,71;22,83;12;"MG"
"Delmiro Gouveia ";21,11;24,16;39,65;77,28;45,73;25,1;"AL"
"Delta ";9,41;15,71;38,86;29,16;24,92;17,8;"MG"
"Demerval Lobão ";12,28;17,01;19,47;59,03;40,94;22,4;"PI"
"Denise ";15,16;16,06;6,67;32,52;32,3;18,5;"MT"
"Deodápolis ";20,28;11,14;16,06;41,76;22,73;20,3;"MS"
"Deputado Irapuan Pinheiro ";4,85;11,77;13,55;85,78;64,09;27,9;"CE"
"Derrubadas ";11,25;4,4;4,58;24,64;22,6;11,8;"RS"
"Descalvado ";10,63;9,36;8,9;22,65;16;11;"SP"
"Descanso ";7,94;5,46;4,76;26,93;25,7;11,9;"SC"
"Descoberto ";7,33;26,68;27,41;31,62;24,08;18,9;"MG"
"Desterro de Entre Rios ";11,75;2,92;14,95;34,32;26,31;18,4;"MG"
"Desterro do Melo ";19,78;2,06;15,46;34,2;25,92;17,7;"MG"
"Desterro ";45,04;25,09;36,75;101,58;56,8;32,4;"PB"
"Dezesseis de Novembro ";17,22;2,21;10,15;27,87;19,9;14,8;"RS"
"Diadema ";15,65;15,77;17,27;27,92;20,7;13,94;"SP"
"Diamante D'Oeste ";8,9;10,16;14,14;39,54;31;19;"PR"
"Diamante do Norte ";12,29;11,14;21,85;45,96;30,26;13,4;"PR"
"Diamante do Sul ";10,03;11,54;19,18;46,92;33,19;17,7;"PR"
"Diamante ";14,72;13,67;19,68;70,83;48,88;27,7;"PB"
"Diamantina ";15,85;18,49;18,03;34,76;29,2;14,8;"MG"
